"job_id","job_title","company_name","job_city","job_schedule_type","average_yearly_salary","job_posted_date"
159866,"Research Engineer, Science","DeepMind","London, UK","Full-time","177283.0","2023-06-28 21:00:41"
1563887,"Data Architect","Darktrace","Cambridge, UK","Full-time","165000.0","2023-08-17 12:17:54"
258461,"Data Architect","AND Digital","Bristol, UK","Full-time","165000.0","2023-02-13 16:32:46"
478395,"Data Architect","Logispin","London, UK","Full-time","163782.0","2023-03-01 22:26:19"
585859,"Research Scientist, Science","DeepMind","London, UK","Full-time","149653.0","2023-06-29 19:18:22"
217504,"Analytics Engineer - ENA London, Warsaw- (F/M)","AccorCorpo","London, UK","Full-time","139216.0","2023-04-21 10:38:48"
307234,"Finance Data Analytics Manager","AJ Bell","Manchester, UK","Full-time","132500.0","2023-04-01 12:20:22"
1396666,"Data Analyst - Financial services","Version 1","Newcastle upon Tyne, UK","Full-time","111175.0","2023-02-28 14:23:24"
178006,"Data Analyst - (Ratings Ops)","Sylvera","London, UK","Full-time","111175.0","2023-05-17 01:21:58"
4851,"Business Intelligence Data Analyst","Ocorian","London, UK","Full-time","111175.0","2023-03-24 10:22:34"
